Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
1,middle,Male,Sandals,Clothing,18,Virginia,S,Yellow,Spring,4.3,Yes,Bank Transfer,Store Pickup,No,Yes,67,Bank Transfer,Annually
2,old,Female,Dress,Footwear,18,Illinois,L,White,Spring,3.5,No,Bank Transfer,2-Day Shipping,No,No,32,Credit Card,Fortnightly
3,old,Female,Shirt,Clothing,79,Arizona,XL,Yellow,Summer,4.4,Yes,PayPal,Next Day Air,No,Yes,59,PayPal,Weekly
4,old,Male,Socks,Outerwear,33,Washington,XL,Silver,Summer,2.5,Yes,Credit Card,Free Shipping,Yes,Yes,86,Credit Card,Annually
5,youth,Male,Shoes,Outerwear,20,Indiana,L,Beige,Summer,1.1,No,Debit Card,Standard,Yes,No,84,Debit Card,Bi-Weekly
6,youth,Male,Sweater,Footwear,111,North Carolina,S,Cyan,Fall,1.1,No,Bank Transfer,Express,Yes,No,10,Debit Card,Fortnightly
7,youth,Male,Hat,Footwear,41,Connecticut,L,Pink,Fall,2.6,Yes,Credit Card,Store Pickup,Yes,No,68,Debit Card,Every 3 Months
8,middle,Male,Hat,Footwear,32,Texas,M,Lavender,Spring,3.9,No,Venmo,2-Day Shipping,No,Yes,62,Debit Card,Quarterly
9,old,Male,Sandals,Accessories,188,Rhode Island,XL,Indigo,Spring,4.5,Yes,Cash,Express,No,No,75,Credit Card,Fortnightly
10,youth,Female,Dress,Footwear,182,Arkansas,S,Purple,Fall,3,No,Credit Card,Express,No,Yes,50,Bank Transfer,Fortnightly
11,old,Male,Shorts,Footwear,107,Idaho,M,Turquoise,Spring,3.9,Yes,Debit Card,Free Shipping,No,Yes,94,Debit Card,Monthly
12,middle,Male,Sunglasses,Accessories,116,Iowa,L,Purple,Summer,4.1,No,Debit Card,2-Day Shipping,No,Yes,86,Cash,Weekly
13,youth,Female,Pants,Outerwear,125,South Carolina,M,Pink,Spring,2.2,No,Venmo,2-Day Shipping,Yes,No,60,Venmo,Bi-Weekly
14,youth,Male,Skirt,Clothing,45,Ohio,M,Teal,Summer,1.5,Yes,Debit Card,Express,Yes,Yes,55,Debit Card,Quarterly
15,middle,Male,Sweater,Clothing,152,Georgia,XL,Silver,Fall,3.9,Yes,Venmo,Next Day Air,No,Yes,31,Venmo,Weekly
16,youth,Male,Handbag,Accessories,193,North Carolina,L,Purple,Fall,1.4,No,Credit Card,Free Shipping,No,Yes,14,Bank Transfer,Quarterly
17,middle,Male,Hat,Outerwear,170,Utah,S,Gray,Fall,4.5,Yes,Credit Card,Next Day Air,No,Yes,85,Venmo,Monthly
18,youth,Male,Hat,Accessories,33,Idaho,XL,Olive,Fall,4.8,No,Venmo,Standard,Yes,Yes,96,Cash,Quarterly
19,old,Female,Sneakers,Clothing,22,Washington,L,Black,Spring,4.4,Yes,Bank Transfer,Next Day Air,Yes,Yes,73,Venmo,Annually
20,old,Female,Blouse,Footwear,30,Idaho,M,Black,Fall,1.6,Yes,Credit Card,Store Pickup,No,Yes,94,Cash,Every 3 Months
21,old,Female,Scarf,Footwear,147,South Dakota,XL,Gold,Summer,3.4,Yes,Credit Card,Next Day Air,Yes,No,40,Cash,Every 3 Months
22,old,Female,T-shirt,Accessories,68,Maryland,XL,Green,Summer,4.9,No,Credit Card,2-Day Shipping,Yes,No,51,Credit Card,Monthly
23,middle,Female,Sneakers,Footwear,132,North Carolina,XL,Olive,Spring,5,Yes,PayPal,Free Shipping,Yes,No,68,PayPal,Monthly
24,middle,Male,Sneakers,Accessories,111,Illinois,L,Turquoise,Fall,4.6,Yes,Bank Transfer,Standard,Yes,Yes,46,Debit Card,Bi-Weekly
25,youth,Female,Shoes,Clothing,89,South Dakota,L,Purple,Summer,4.5,Yes,Venmo,Express,Yes,No,41,Debit Card,Weekly
26,youth,Male,Jewelry,Outerwear,185,Michigan,XL,Violet,Summer,1.4,No,Credit Card,Store Pickup,Yes,No,31,Debit Card,Every 3 Months
27,old,Female,Jeans,Footwear,131,Nebraska,L,Maroon,Winter,4.7,Yes,Debit Card,Next Day Air,No,Yes,58,Cash,Every 3 Months
28,youth,Female,Shoes,Clothing,97,Ohio,XL,Violet,Fall,2.7,No,Debit Card,Express,No,Yes,59,Debit Card,Bi-Weekly
29,middle,Male,Pants,Footwear,140,New Jersey,XL,Green,Winter,2.7,No,Bank Transfer,Free Shipping,Yes,No,84,Debit Card,Weekly
30,youth,Male,Socks,Clothing,69,Georgia,XL,Pink,Fall,1.4,Yes,Bank Transfer,Express,No,No,37,PayPal,Fortnightly
31,old,Male,Blouse,Footwear,60,Kentucky,M,Pink,Fall,2.6,No,Cash,Store Pickup,No,Yes,73,PayPal,Monthly
32,middle,Female,Jewelry,Footwear,109,Minnesota,XL,Maroon,Summer,3.8,Yes,Cash,Next Day Air,Yes,Yes,90,Credit Card,Fortnightly
33,youth,Female,Blouse,Accessories,134,New Jersey,XL,Green,Winter,3.7,No,Debit Card,Next Day Air,Yes,No,99,Bank Transfer,Annually
34,old,Female,Belt,Footwear,143,Tennessee,XL,Violet,Spring,2.2,No,Bank Transfer,Express,Yes,No,17,Debit Card,Every 3 Months
35,middle,Male,Boots,Accessories,33,North Carolina,S,Black,Winter,2.3,Yes,Credit Card,Standard,Yes,No,22,Debit Card,Annually
36,middle,Female,Jeans,Clothing,44,Connecticut,XL,Teal,Summer,1.9,No,Debit Card,Standard,Yes,No,51,Bank Transfer,Annually
37,youth,Male,Shoes,Outerwear,42,Virginia,M,Beige,Summer,2.4,No,Bank Transfer,Standard,Yes,Yes,84,Venmo,Weekly
38,old,Male,Shoes,Clothing,89,Pennsylvania,S,Turquoise,Fall,3.5,No,PayPal,Store Pickup,Yes,No,12,Venmo,Weekly
39,old,Female,Blouse,Outerwear,165,Ohio,M,Olive,Fall,3.2,Yes,Bank Transfer,Free Shipping,Yes,Yes,81,Cash,Fortnightly
40,middle,Female,Sandals,Footwear,64,Tennessee,L,Orange,Fall,2.7,Yes,Bank Transfer,Standard,No,Yes,22,Venmo,Fortnightly
41,middle,Male,Skirt,Accessories,16,New York,L,Cyan,Spring,2.8,Yes,Cash,Store Pickup,No,No,24,Bank Transfer,Quarterly
